8371400,2022-11-24T07:34:13,1669275253,722590453
8371400,2022-11-24T11:37:45,1669289865,722605065
8371400,2022-11-24T11:37:46,1669289866,722605066
8371400,2022-11-24T11:42:32,1669290152,722605352
8371400,2022-11-24T11:42:35,1669290155,722605355
8371400,2022-11-24T11:42:47,1669290167,722605367
8371400,2022-11-24T11:42:50,1669290170,722605370
8371400,2022-11-24T11:43:10,1669290190,722605390
8371400,2022-11-24T11:46:09,1669290369,722605569
8371400,2022-11-24T11:50:32,1669290632,722605832
8371400,2022-11-24T12:03:46,1669291426,722606626
8371400,2022-11-24T12:03:48,1669291428,722606628
8371400,2022-11-24T19:29:35,1669318175,722633375
8371400,2022-11-25T02:46:12,1669344372,722659572
8371400,2022-11-25T09:51:21,1669369881,722685081
8371400,2022-11-25T16:57:55,1669395475,722710675
8371400,2022-11-25T23:31:50,1669419110,722734310
8371400,2022-11-26T06:39:32,1669444772,722759972
8371400,2022-11-26T13:50:57,1669470657,722785857
8371400,2022-11-26T20:18:25,1669493905,722809105
8371400,2022-11-27T03:32:26,1669519946,722835146
8371400,2022-11-27T10:02:03,1669543323,722858523
8371400,2022-11-27T16:31:10,1669566670,722881870
8371400,2022-11-27T23:03:06,1669590186,722905386
8371400,2022-11-28T05:50:20,1669614620,722929820
8371400,2022-11-28T12:59:28,1669640368,722955568
