USB-500/600 Log File,
Name: TemHumB,
Model: USB-502,
Serial Number: 10223952,
Index,Date/Time,Temp(C),Humidity(%rh),Dew Point(C),
103,11/10/2022 3:30:00 am,26.0,101.5,26.3,
104,11/10/2022 3:45:00 am,26.0,101.5,26.3,
105,11/10/2022 4:00:00 am,26.0,101.5,26.3,
106,11/10/2022 4:15:00 am,26.0,101.5,26.3,
107,11/10/2022 4:30:00 am,26.0,101.5,26.3,
108,11/10/2022 4:45:00 am,26.0,101.5,26.3,
109,11/10/2022 5:00:00 am,26.0,101.5,26.3,
110,11/10/2022 5:15:00 am,26.0,101.5,26.3,
111,11/10/2022 5:30:00 am,26.0,101.5,26.3,
112,11/10/2022 5:45:00 am,26.0,101.5,26.3,
113,11/10/2022 6:00:00 am,26.0,101.5,26.3,
114,11/10/2022 6:15:00 am,26.0,101.5,26.3,
115,11/10/2022 6:30:00 am,26.0,101.5,26.3,
116,11/10/2022 6:45:00 am,26.0,101.5,26.3,
117,11/10/2022 7:00:00 am,26.0,101.5,26.3,
118,11/10/2022 7:15:00 am,26.0,101.5,26.3,
119,11/10/2022 7:30:00 am,26.0,101.5,26.3,
120,11/10/2022 7:45:00 am,26.0,101.5,26.3,
121,11/10/2022 8:00:00 am,26.0,101.5,26.3,
122,11/10/2022 8:15:00 am,26.0,101.5,26.3,
123,11/10/2022 8:30:00 am,26.0,101.5,26.3,
124,11/10/2022 8:45:00 am,26.0,102.0,26.3,
125,11/10/2022 9:00:00 am,26.0,102.0,26.3,
126,11/10/2022 9:15:00 am,26.0,102.0,26.3,
127,11/10/2022 9:30:00 am,26.0,102.0,26.3,
128,11/10/2022 9:45:00 am,26.0,102.0,26.3,
129,11/10/2022 10:00:00 am,26.0,102.0,26.3,
130,11/10/2022 10:15:00 am,26.0,102.0,26.3,
131,11/10/2022 10:30:00 am,26.0,102.0,26.3,
132,11/10/2022 10:45:00 am,26.0,102.0,26.3,
133,11/10/2022 11:00:00 am,26.0,102.0,26.3,
134,11/10/2022 11:15:00 am,26.0,102.0,26.3,
135,11/10/2022 11:30:00 am,26.0,102.0,26.3,
136,11/10/2022 11:45:00 am,26.0,102.0,26.3,
137,11/10/2022 12:00:00 pm,26.0,102.0,26.3,
138,11/10/2022 12:15:00 pm,26.0,102.0,26.3,
139,11/10/2022 12:30:00 pm,26.0,102.0,26.3,
140,11/10/2022 12:45:00 pm,26.0,102.0,26.3,
141,11/10/2022 1:00:00 pm,26.0,102.0,26.3,
142,11/10/2022 1:15:00 pm,26.0,102.0,26.3,
143,11/10/2022 1:30:00 pm,26.0,102.0,26.3,
144,11/10/2022 1:45:00 pm,26.0,102.0,26.3,
145,11/10/2022 2:00:00 pm,26.0,102.0,26.3,
146,11/10/2022 2:15:00 pm,26.0,102.0,26.3,
147,11/10/2022 2:30:00 pm,26.0,102.0,26.3,
148,11/10/2022 2:45:00 pm,26.0,102.0,26.3,
149,11/10/2022 3:00:00 pm,26.0,102.0,26.3,
150,11/10/2022 3:15:00 pm,26.0,102.0,26.3,
151,11/10/2022 3:30:00 pm,26.0,102.0,26.3,
152,11/10/2022 3:45:00 pm,26.0,102.0,26.3,
153,11/10/2022 4:00:00 pm,26.0,102.0,26.3,
154,11/10/2022 4:15:00 pm,26.0,102.0,26.3,
155,11/10/2022 4:30:00 pm,26.0,102.0,26.3,
156,11/10/2022 4:45:00 pm,26.0,102.0,26.3,
157,11/10/2022 5:00:00 pm,26.0,102.0,26.3,
158,11/10/2022 5:15:00 pm,26.0,102.0,26.3,
159,11/10/2022 5:30:00 pm,26.0,102.0,26.3,
160,11/10/2022 5:45:00 pm,26.0,102.0,26.3,
161,11/10/2022 6:00:00 pm,26.0,102.0,26.3,
162,11/10/2022 6:15:00 pm,26.0,102.5,26.4,
163,11/10/2022 6:30:00 pm,26.0,102.5,26.4,
164,11/10/2022 6:45:00 pm,26.0,102.5,26.4,
165,11/10/2022 7:00:00 pm,26.0,102.5,26.4,
166,11/10/2022 7:15:00 pm,26.0,102.5,26.4,
167,11/10/2022 7:30:00 pm,26.0,102.5,26.4,
168,11/10/2022 7:45:00 pm,26.0,102.5,26.4,
169,11/10/2022 8:00:00 pm,26.0,102.5,26.4,
170,11/10/2022 8:15:00 pm,26.0,102.5,26.4,
171,11/10/2022 8:30:00 pm,26.0,102.5,26.4,
172,11/10/2022 8:45:00 pm,26.0,102.5,26.4,
173,11/10/2022 9:00:00 pm,26.0,102.5,26.4,
174,11/10/2022 9:15:00 pm,26.0,102.5,26.4,
175,11/10/2022 9:30:00 pm,26.0,102.5,26.4,
176,11/10/2022 9:45:00 pm,26.0,102.5,26.4,
177,11/10/2022 10:00:00 pm,26.0,102.5,26.4,
178,11/10/2022 10:15:00 pm,26.0,102.5,26.4,
179,11/10/2022 10:30:00 pm,26.0,102.5,26.4,
180,11/10/2022 10:45:00 pm,26.0,102.5,26.4,
181,11/10/2022 11:00:00 pm,26.0,102.5,26.4,
182,11/10/2022 11:15:00 pm,26.0,102.5,26.4,
183,11/10/2022 11:30:00 pm,26.0,102.5,26.4,
184,11/10/2022 11:45:00 pm,26.0,102.5,26.4,
185,12/10/2022 12:00:00 am,26.0,102.5,26.4,
186,12/10/2022 12:15:00 am,26.0,102.5,26.4,
187,12/10/2022 12:30:00 am,26.0,102.5,26.4,
188,12/10/2022 12:45:00 am,26.0,102.5,26.4,
189,12/10/2022 1:00:00 am,26.0,102.5,26.4,
190,12/10/2022 1:15:00 am,26.0,102.5,26.4,
191,12/10/2022 1:30:00 am,26.0,102.5,26.4,
192,12/10/2022 1:45:00 am,26.0,102.5,26.4,
193,12/10/2022 2:00:00 am,26.0,102.5,26.4,
194,12/10/2022 2:15:00 am,26.0,102.5,26.4,
